ind_Latn,sun_Latn
"Saat ini BP4 Pusat dipimpin oleh Ketua Umum BP4 Pusat periode 2014 - 2019 Drs. H. Wahyu Widiana, M.A, dan Sekretaris Umum Drs. H. Najib Anwar, M.H yang dikukuhkan oleh Menteri Agama Lukman Hakim Saifuddin pada tanggal 13 Oktober 2014 di Kementerian Agama Republik Indonesia Lapangan Banteng Jakarta Pusat.","Kiwari BP4 Pusat dipingpin ku Katua Umum BP4 Pusat périodeu 2014 - 2019 Drs. H. Wahyu Widiana, M.A, jeung Sekretaris Umum Drs. H. Najib Anwar, M.H nu dikukuhkeun ku Menteri Agama Lukman Hakim Saifuddin dina tanggal 13 Oktober 2014 di Kementerian Agama Républik Indonésia Lapangan Banténg Jakarta Pusat."
"Sejak tahun 1978 BP4 Pusat berkantor di Masjid Negara Istiqlal Ruang 66 menyiratkan pesan bahwa BP4 mendapat amanat untuk ikut mengamalkan pesan Surat 66 at-Tahrim ayat 6 dan salah satu pesan dari 6 hak antara sesama muslim, yaitu jika dia minta nasihat kepadamu berilah nasihat.","Mimiti taun 1978 BP4 Pusat kantorna di Masjid Nagara Istiqlal Ruang 66 nétélakeun yén BP4 ka amanatan ngamalkeun Surat 66 at-Tahrim ayat 6 jeung salah sahiji ti 6 hak antara sesama muslim, nyaéta lamun aya nu ménta naséhat béré naséhat."
BP4 Pusat khususnya hingga saat ini tiap hari kerja masih tetap konsisten memberikan pelayanan Konsultasi Perkawinan dan Penasihatan Hukum.,BP4 Pusat hususna tepi ka kiwari ngalayanan Konsultasi Perkawinan jeung Panaséhatan Hukum.
"DR. H. Ade ""Akom"" Komarudin, MH (lahir di Purwakarta, Jawa Barat, 20 Mei 1965; umur 50 tahun ) adalah seorang politikus senior Partai Golongan Karya yang ditunjuk sebagai Ketua DPR RI untuk menggantikan Setya Novanto yang mengundurkan diri 16 Desember 2015. Ia telah menjabat sebagai anggota DPR RI selama lima periode berturut-turut, dan menjabat sebagai Ketua Fraksi Golkar DPR RI sejak 2014. Pria yang merupakan alumni UIN Syarif Hidayatullah ini sejak tahun 1997 telah berhasil duduk di kursi DPR RI hingga tahun 2019.","Dr. H. Ade ""Akom"" Komarudin, M.H (lahir di Purwakarta, Jawa Barat, 20 Mei 1965; umur 50 tahun ) ngarupakeun pulitikus sénior Partey Golongan Karya anu ditunjuk jadi Katua DPR RI ngaganti Setya Novanto ngundurkeun diri 16 Désémber 2015. Anjeuna ngajabat anggota DPR RI salila lima périodeu tuturutan, jeung ngajabat Katua Fraksi Golkar DPR RI sejak 2014. Ieu alumni UIN Syarif Hidayatullah mimiti taun 1997 geus jeneng di DPR RI dugi ka taun 2019."
"Mengawali karier politik dengan bergabung menjadi anggota partai Golongan Karya, karier politik Ade Komarudin terus menanjak.","Karir pulitikna ku gabung jadi anggota partéy Golongan Karya, karir pulitik Adé Komarudin terus naék."
"Ia pernah menjabat menjadi wakil sekretaris jenderal di dua organisasi kepemudaan yang berbeda, yakni Angkatan Muda Pembaharuan Indonesia (AMPI) dan Komite Nasional Pemuda Indonesia (KNPI) sejak tahun 1993 hingga tahun 1998.","Kungsi ngajabat jadi wakil sékretaris jénderal di dua orhanisasi kapamudaan nu béda, nyaéta Angkatan Muda Pembaharuan Indonésia (AMPI) jeung Komite Nasional Pemuda Indonésia (KNPI) mimiti taun 1993 dugi ka taun 1998."
"Pada tahun 2010, Akom melakukan langkah besarnya dalam kariernya dengan maju turut serta dalam bursa pemilihan ketua umum Sentral Organisasi Karyawan Swadiri Indonesia atau SOKSI.","Dina taun 2010, Akom kapilih jadi Katua umum Séntral Orhanisasi Karyawan Swadiri Indonésia atawa SOKSI."
"Kendati saat itu Akom mencalonkan dirinya dalam pemilihan tanpa didampingi adanya tim sukses, namun dirinya telah mendapat banyak dukungan kuat dari sejumlah pengurus SOKSI di daerah.","Adé Komarudin ogé meunang dukungan ti tokoh Partéy Golkar, saperti Akbar Tanjung."
"Selain mendapat dukungan dari beberapa tokoh didaerah, Ade Komarudin juga memperoleh dukungan dari sejumlah tokoh Partai Golkar, seperti Akbar Tanjung. Setelah melalui proses pemilihan yang panjang, Ade Komarudin berhasil keluar sebagai pemenang.","Adé dilantik jadi Katua Umum SOKSI tanggal 25 Juni 2010 kunu ngadegkeun SOKSI Prof. Suhardiman diaping Katua Umum DPP Partai Golkar mangsa harita, Aburizal Bakrie."
"Sekjen dijabat Lawrence Siburian dengan 23 wakil sekjen, serta bendahara umum dijabat Melchias M Mekkeng yang dibantu 23 wakil bendahara umum. Kepengurusan itu juga dilengkapi 22 departemen. Dengan demikian, total pengurus sebanyak 150 orang.","Sekjen dijabat Lawrence Siburian dengan 23 wakil sekjen, serta bendahara umum dijabat Melchias M Mekkeng yang dibantu 23 wakil bendahara umum."
"Pelantikan Ade beserta jajarannya sendiri dilakukan pada tanggal 25 Juni 2010 dan dilakukan pendiri SOKSI Prof. Suhardiman yang didampingi Ketua Umum DPP Partai Golkar pada saat itu, Aburizal Bakrie.","Kepengurusan itu juga dilengkapi 22 departemen. Dengan demikian, total pengurus sebanyak 150 orang."
Latarbelakang dan Keluarga,Kasang tukang jeung Kulawarga
"Akom lahir di Purwakarta, Jawa Barat 20 Mei 1965 dari pasangan Thoha Mukhtar dan Nurhayati.","Akom gumelar di Purwakarta, Jawa Barat, 20 Mei 1965 ti ramana, Thoha Mukhtar jeung ibuna, Nurhayati."
Kedua orang tuanya merupakan petani di sebuah desa kecil di Purwakarta.,Indung bapana patani di désa leutik di Purwakarta.
"Ia menikah dengan Netty Marliza, SH. Dari pernikahan tersebut mereka dikarunai dua anak perempuan yaitu Puteri Anetta Komarudin (lahir 21 Agustus 1993) dan Benazir Maharani Komarudin Puteri (lahir 21 Mei 1996) serta satu anak laki-laki yaitu Khalfani Mangkubuwana Komarudin Putera (lahir 7 Juli 2004). Puteri menyelesaikan pendidikan di University of Melbourne dan lulus tahun 2015.","Anjeuna jatukrami jeung Netty Marliza, SH. turunan, dua anak awéwé nyaéta Puteri Anétta Komarudin (babar 21 Agustus 1993) jeung Bénazir Maharani Komarudin Puteri (babar 21 Méi 1996) sarta hiji budak lalaki nyaéta Khalfani Mangkubuwana Komarudin Putera (gumelar, 7 Juli 2004)."
Pendidikan,Pangatikan
"SDN Cempaka III, Purwakarta (1997) SMPN Cempaka, Purwakarta (1981) SMAN II Purwakarta (1984) S1 Universitas Islam Negeri Syarif Hidayatullah Jakarta (1990) S2 Universitas Indonesia Jurusan Ilmu Politik (1993-tidak tamat) S2 Universitas Padjadjaran Fakultas Hukum (2007) S3 Universitas Padjadjaran Fakultas Hukum (2012)","SDN Cempaka III, Purwakarta (1997) SMPN Cempaka, Purwakarta (1981) SMAN II Purwakarta (1984) S1 Universitas Islam Negeri Syarif Hidayatullah Jakarta (1990) S2 Universitas Indonesia Jurusan Ilmu Politik (1993-teu tamat) S2 Universitas Padjadjaran Fakultas Hukum (2007) S3 Universitas Padjadjaran Fakultas Hukum (2012)"
Doktor (bahasa Inggris: doctor) adalah gelar akademik yang diberikan kepada lulusan program pendidikan doktor atau strata-3 (S-3).,Doktor (bahasa Inggris: doctor) ngarupakeun gelar akademik anu dibikeun ka lulusan program pangatikan doktor atawa strata-3 (S-3).
"Biasanya, pemberian gelar doktor membutuhkan pengakuan terhadap kandidat oleh dewan pengajar di universitas tempat dia belajar bahwa ia telah mencapai tingkat yang setara dengan para anggota dewan itu.","Biasana, pangleler gelar doktor mikabutuh akuan pikeun calon kandidat ti dewan pengajar di paguron luhur saperti universitas tempat nyungsi élmu."
Karya ilmiah yang digunakan untuk mencapai tingkat ini adalah disertasi.,Karya ilmiah anu digunakeun pikeun ngahontal ieu tingkat nyaéta disertasi.
Lihat pula,Tingal oge
Magister (bahasa Inggris: master) adalah gelar akademik yang diberikan kepada lulusan program pendidikan Magister (S-2).,Magister (bahasa Inggris: master) ngarupakeun gelar akademik anu dibikeun ka lulusan program pangatikan Magister (S-2).
"Umumnya dibutuhkan waktu selama 1,5 - 2 tahun, namun ada juga yang menyelesaikannya dalam 1 tahun ataupun lebih dari 2 tahun. Hal tersebut bergantung dari kebijakan dari perguruan tinggi yang ditetapkan.","Umumna mibutuh waktu salila 1,5 - 2 taun, aya ogé nu anggeus sataun atawa leuwih ti 2 taun gumantung kawijakan paguron luhurna."
Karya ilmiah yang diwajibkan dan merupakan persyaratan untuk memperolah gelar sarjana dinamakan dengan tesis..,Karya ilmiahna nu diwajibkeun pikeun meunang gelar magister dingaranan tesis..
Gelar magister di Indonesia,Gelar magister di Indonésia
"Di Indonesia, gelar magister diatur oleh senat perguruan tinggi dan ditulis di belakang nama yang berhak dengan mencantumkan huruf M diikuti inisial bidang studi.","Di Indonésia, gelar magister diatur ku sénat paguron luhur jeung ditulis di tukang ngaran nu boga hak nyantumkeun huru M disusul inisial bidang studina."
Gelar magister yang ada di Indonesia antara lain:,Contona:
"Sarjana (dari bahasa Sanskerta सर्जन, ""penciptaan"", dalam bahasa Inggris: undergraduate) adalah gelar akademik yang diberikan kepada lulusan program pendidikan sarjana (S-1). Untuk mendapatkan gelar sarjana. Secara normatif dibutuhkan waktu selama 4 (empat) sampai 6 (enam) tahun, tapi ada juga yang menyelesaikannya dalam 3,5 (tiga setengah) tahun ataupun lebih dari 6 (enam) tahun.","Sarjana (tina Basa Sanskerta सर्जन, ""penciptaan"", dina bahasa Inggris: undergraduate) ngarupakeun gelar akademik nu dibikeun ka lulusan program pangatikan sarjana (S-1)."
Hal tersebut tergantung dari kebijakan dari perguruan tinggi yang ditetapkan. Karya ilmiah yang diwajibkan dan merupakan persyaratan untuk memperolah gelar sarjana dinamakan dengan skripsi.,Karya ilmiah nu diwajibkeun pikeun meunang gelar sarjana dingaranan skripsi.
Gelar sarjana di Indonesia,Gelar sarjana di Indonésia
"Di Indonesia, gelar sarjana diatur oleh senat perguruan tinggi dan ditulis di belakang nama yang berhak dengan mencantumkan huruf S diikuti inisial bidang studi.","Di Indonésia, gelar sarjana diatur ku sénat paguron luhur jeung ditulis di tukang ngaran nu boga hak maké huruf S disusul widang studina."
Gelar sarjana yang ada di Indonesia adalah:,Gelar sarjana nu aya di Indonésia antarana:
Lihat pula,Tingal Ogé
"Surah Al-Waqi'ah (Arab: الواقعه, ""Hari Kiamat"") adalah surah ke-56 dalam Al-Qur'an.","Surat Al-Waqi'ah (Arab: الواقعه, ""Poé Kiamat"") nyaéta surat ka-56 dina Al-Qur'an."
Surah ini terdiri atas 96 ayat dan termasuk golongan golongan surah Makkiyah.,Ieu surat kawengku 96 ayat jeung ka asup golongan surat Makkiyah.
"Surah yang diturunkan sesudah surah Ta Ha ini dinamai dengan Al Waaqi'ah (Hari Kiamat), diambil dari perkataan Al Waaqi'ah yang terdapat pada ayat pertama.","Diturunkeun sabada surat Ta Ha (surat ka 20) dingaranan Al Waaqi'ah (Poé Kiamat, Anu Pasti Kajadian), dicokot tina kecap Al Waaqi'ah nu aya di ayat kahiji."
Pokok-pokok terjemahan,Poko-poko tarjamahan
"Tatkala Sebuah Kemutlakan terlaksana, tiada yang membantah kedatangannya; yang akan merendahkan, yang akan meninggikan, Tatkala bumi digoncangkan secara keras, maupun gunung-gunung diremukkan secara keras sehingga menjadi debu yang berhamburan, kemudian kalian dibagi menjadi tiga golongan: Golongan Kanan; apakah Golongan Kanan itu? dan Golongan Kiri; apakah Golongan Kiri itu? serta Golongan Utama, merekalah yang diutamakan; merekalah golongan yang didekatkan yang berada dalam Surga kesejahteraan; segolongan dari generasi terdahulu beserta sebagian kecil dari generasi terkemudian, mereka berada di tahta-tahta yang terpahat, seraya mereka duduk sambil berhadap-hadapan; mereka dikelilingi oleh golongan muda abadi yang membawakan gelas, cerek serta piala berisi minuman yang diambil dari mata air mengalir; mereka tidak merasakan pening akibat itu serta mereka tidak mabuk, dan buah-buahan yang mereka kehendaki, maupun daging burung yang mereka inginkan. disediakan para bidadari yang bermata indah laksana permata yang tersimpan baik, sebagai hadiah atas yang telah mereka kerjakan. Tidaklah mereka mendengar disana; ocehan, dan tidak pula olok-olok, melainkan diserukan: ""Damai!, Damai!."" Dan Golongan Kanan, apakah Golongan Kanan itu? yakni yang berada di tengah-tengah pepohonan bidara yang tak berduri dan pepohonan yang bersusun-susun, dan naungan yang terbentang luas serta aliran air yang tercurah, maupun buah-buahan berlimpah, yang tidak berkurang serta tidak terlarang, juga tahta-tahta yang nyaman; sungguh telah Kami adakan secara langsung, dan Kami jadikan untuk mereka, kaum bidadari perawan, rupawan lagi sebaya untuk Golongan Kanan; segolongan dari generasi terdahulu beserta segolongan dari generasi terkemudian.",Mun geus cunduk waktuna ninggang mangsana poé pinasti.
"Dan Golongan Kiri, apakah Golongan Kiri itu? yakni yang berada dalam angin yang membakar serta air mendidih, juga berada dalam naungan asap pekat yang tiada sejuk dan tiada nyaman. Sebab sebelum itu mereka hidup bermewah-mewahan dan mereka tekun mengerjakan perbuatan-perbuatan tercela, dan mereka terbiasa mengatakan: ""Apakah ketika kami telah mati dan kami telah menjadi debu dan tulang belulang, benarkah kami akan dibangkitkan kembali?, apakah kaum leluhur kami yang terdahulu juga?"" Katakanlah: ""Sungguh generasi terdahulu beserta golongan terkemudian pasti akan dihimpunkan di sebuah waktu yang telah ditentukan, pada sebuah Hari yang dikenal; kemudian tentulah kalian, wahai golongan sesat yang mendustakan, pasti kalian akan memakan pohon Zaqqum serta akan memenuhi perut kalian dengan itu, lalu kalian akan meminum air mendidih dan kalian minum seperti unta kehausan.",Taya nu sangsi kana datangna.
"Itulah santapan untuk mereka pada Hari Penghakiman"".",Nu ngahandapkeun tur nu ngangkatkeun.
"(Ayat:1-56) Kamilah yang telah menciptakan kalian lalu mengapakah kalian tidak mengakui? maka apakah kalian perhatikan tentang yang kalian pancarkan; apakah kalian yang menciptakan itu, ataukah Kami yang menciptakan itu?, telah Kami tetapkan Kematian terhadap kalian dan Kami takkan dapat dikalahkan untuk menggantikan kalian dengan yang serupa kalian; maupun untuk menciptakan kalian kelak dalam wujud yang tidak kalian ketahui, sungguh kalian telah mengetahui penciptaan pertama lalu mengapakah kalian tidak memahami? Maka apakah kalian perhatikan tentang yang kalian taburkan? apakah kalian yang menumbuhkan itu ataukah Kami yang menumbuhkan itu? sekiranya Kami kehendaki, tentu Kami jadikan itu kering dan hancur sehingga kalian merasa heran: ""kita benar-benar merugi, bahkan kita menjadi orang yang tak berdaya."" Maka apakah kalian perhatikan tentang air yang kamu minum? apakah kalian yang menurunkan itu dari awan ataukah Kami yang menurunkan itu? sekiranya Kami kehendaki niscaya Kami jadikan itu terasa asin lalu mengapakah kalian tidak bersyukur?","Mun marcapada digénjlongkeun, gunung-gunung baritu, lebuna awur-awuran."
"Maka apakah kalian perhatikan tentang api yang kalian percikkan, apakah kalian yang menimbulkan itu ataukah Kami yang menimbulkan itu?","Aranjeun jadi tilu madhab. Madhab katuhu, kacida bagja madhab katuhu? Madhab kénca, kacida cilaka madhab kénca?"
Kami telah menjadikan itu sebagai peringatan dan bekal berguna bagi pengembara di gurun pasir.,"Tur nu utama Tur nu utama, nu deuheus (ka Alloh) tempatna di Jannat an-Na'im (surga pinuh ku ni'mat)."
"Maka semarakkan seraya memuji nama Tuhanmu Yang Maha Agung. (Ayat:57-74) Maka Aku bersumpah demi orbit bintang-bintang; sungguh yang demikian ini merupakan penegasan yang kuat sekiranya kalian mengetahui, bahwasanya Al-Qur'an ini merupakan Sebuah Bacaan yang berharga dalam Kitab yang Terpelihara, tiada yang sanggup menjangkau yang demikian selain golongan suci; yang dikirimkan dari Tuhannya semesta alam. Maka apakah kalian meremehkan Hadits ini?, lalu apakah kalian mengganggap sebagai urusan kalian sendiri supaya kalian dapat mendustakan.",Madhab Katuhu jeung madhab kénca.
"(Ayat:75-82) Maka mengapa ketika menyesak hingga tenggorokan, padahal kalian ketika itu memperhatikan, bahkan Kami berada lebih dekat terhadap yang demikian dibanding diri kalian walaupun kalian tidak memahami lalu mengapa jika kalian sama sekali tidak berada dalam kendali maka kalian tidak mengembalikan itu, apabila kalian memang golongan yang benar?, namun sekiranya orang itu termasuk Golongan yang dekat, maka orang itu meraih ketenteraman juga pencapaian dan Surga kesejahteraan. adapun sekiranya orang itu termasuk Golongan Kanan: ""maka kesejahteraan untuk kamu karena kamu termasuk Golongan Kanan."" Dan adapun sekiranya orang itu termasuk golongan pendusta yang sesat, maka orang itu mendapat hidangan air mendidih serta dibakar di dalam Kobaran Api; sungguh yang demikian merupakan sebuah Kebenaran yang utuh, oleh sebab itu semarakkan nama Tuhanmu Yang Maha Agung. (Ayat:83-96)",Naha aranjeun nu nyiptakeun atawa Kami
Referensi,Rujukan
Malaikat (bahasa Arab: ملاءكة malāʾikat; tunggal: ملاك atau مَلَكْ malāk) adalah makhluk yang memiliki kekuatan-kekuatan yang patuh pada ketentuan dan perintah Allah.,"Malaékat (basa Arab: ملاءكة malāʾikat; tunggal: ملاك atau مَلَكْ malāk) mangrupa mahluk nu diciptakeun Alloh SWT tina cahaya jeung boga kakuatan-kakuatan tur tara sulaya ku ma'siat, tumut kana paréntah Alloh."
Malaikat di dalam ajaran Islam,Malaékat dina ajaran Islam
"Malaikat diciptakan oleh Allah terbuat dari cahaya (nur), berdasarkan salah satu hadist Muhammad, “Malaikat telah diciptakan dari cahaya.”","Malaékat diciptakeun ku Alloh tina cahaya (nur), numutkeun hadis Nabi Muhammad, “Malaékat geus diciptakeun tina cahaya.”"
Iman kepada malaikat adalah bagian dari Rukun Iman.,Iman ka malaékat ka asup Rukun Iman.
"Iman kepada malaikat maksudnya adalah meyakini adanya malaikat, walaupun kita tidak dapat melihat mereka, dan bahwa mereka adalah salah satu makhluk ciptaan Allah.","Iman ka malaékat maksudna nyaéta yakin yén ayana malaékat, sanajan teu katempo bungkeuleukan da mahluk goib. Alloh SWT nyipta tina cahaya. Maranéhna nyembah Alloh jeung éstu toat tara narah kana paréntah-Nya, tur tara nyieun dosa, lain lalaki lain awéwé, teu dahar teu nginum."
Allah menciptakan mereka dari cahaya.,Teu aya nu terang jumlahna anging Alloh.
"Mereka menyembah Allah dan selalu taat kepada-Nya, mereka tidak pernah berdosa.","Sanajan teu katempo manusa, ku idin Alloh para Nabi jeung rosul a.s. bisa nempo."
"Tak seorang pun mengetahui jumlah pasti malaikat, hanya Allah saja yang mengetahui jumlahnya.","Malaékat ngajirim wujud lalaki ka sababaraha nabi jeung rosul saperti ka Nabi Ibrohim a.s, jeung Nabi Muhammad s.a.w."
Nama dan tugas para malaikat,Ngaran jeung tugas malaékat
"Di antara para malaikat yang wajib setiap orang Islam ketahui sebagai salah satu Rukun Iman, berdasarkan Al Qur'an, hadits dan kitab-kitab.","Para malaékat nu wajib sakur urang Islam nyaho minangka Rukun Iman, dumasar Al Qur'an, jeung hadits."
Nama (panggilan) beserta tugas-tugas mereka adalah sebagai berikut:,Ngaran jeung tugasna ti antawisna:
"Jibril - Pemimpin para malaikat, bertugas menyampaikan wahyu dan mengajarkannya kepada para nabi dan rasul.","Jibril - Gegedén malaékat, tugasna nepikeun wahyu jeung ngajarkeunana ka para nabi tur rosul."
Mikail - Pembagi rezeki kepada seluruh makhluk.,Mikail - Tugasna babagi rejeki ka sakumna mahluk.
"Mengatur jalannya matahari, bulan, dan bintang yang menyebabkan perputaran siang dan malam.","Ngatur panon poé, bulan, jeung béntang anu ngajadikeun beurang jeung peuting."
